Judge,Business On Date,Hearing Date,Purpose of hearing

,14-06-2012,21-09-2012, Evidence
,21-09-2012,14-10-2014, Evidence
,14-10-2014,20-11-2014, Evidence
,20-11-2014,09-12-2014, Filing requisite
,09-12-2014,11-02-2015, Evidence
,11-02-2015,28-04-2015, Evidence
,28-04-2015,09-07-2015, Evidence
,09-07-2015,21-09-2015, Evidence
,21-09-2015,30-11-2015, For D/W
,30-11-2015,24-02-2016, For D/W
,24-02-2016,15-06-2016, Evidence
,15-06-2016,18-08-2016, Evidence
,18-08-2016,08-12-2016, Evidence
,08-12-2016,09-02-2017, Further Evidence
,09-02-2017,25-04-2017, Further Evidence
,25-04-2017,11-08-2017, Further Evidence
Civil Judge Sr Div,11-08-2017,28-11-2017, Further Evidence
Civil Judge Sr Div,28-11-2017,14-02-2018, Further Evidence
Civil Judge Sr Div,14-02-2018,16-06-2018, Further Evidence
Civil Judge Sr Div,16-06-2018,10-09-2018, For show cause by defendant
Civil Judge Sr Div,10-09-2018,19-12-2018, For Exparte Evidence
Civil Judge Sr Div,19-12-2018,19-03-2019, For Exparte Evidence
Civil Judge Sr Div,19-03-2019,26-07-2019, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",26-07-2019,21-08-2019, For Exparte hearing
"Joint Civil Judge (Sr. Div.),Port Blair",21-08-2019,19-09-2019, For Exparte hearing
"Joint Civil Judge (Sr. Div.),Port Blair",19-09-2019,13-11-2019, For Exparte hearing
"Joint Civil Judge (Sr. Div.),Port Blair",13-11-2019,09-01-2020, For Exparte hearing
"Joint Civil Judge (Sr. Div.),Port Blair",09-01-2020,16-03-2020, For Exparte hearing
"Joint Civil Judge (Sr. Div.),Port Blair",16-03-2020,22-04-2020, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",22-04-2020,23-07-2020, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",23-07-2020,16-09-2020, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",16-09-2020,24-11-2020, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",24-11-2020,28-01-2021, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",28-01-2021,30-03-2021, Evidence
"Joint Civil Judge (Sr. Div.),Port Blair",30-03-2021,24-06-2021, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",24-06-2021,20-08-2021, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",20-08-2021,27-10-2021, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",27-10-2021,29-12-2021, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",29-12-2021,21-02-2022, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",21-02-2022,25-04-2023, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",25-04-2023,30-06-2023, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",30-06-2023,22-09-2023, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",22-09-2023,16-11-2023, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",16-11-2023,15-02-2024, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",15-02-2024,15-04-2024, For PH
"Joint Civil Judge (Sr. Div.),Port Blair",15-04-2024,12-07-2024, For PH
