Judge,Business On Date,Hearing Date,Purpose of hearing

,20-07-2012,09-08-2012, Evidence
,09-08-2012,31-08-2012, Evidence
,31-08-2012,09-10-2012, Evidence
,09-10-2012,11-12-2012, Evidence
,11-12-2012,29-01-2013, Evidence
,29-01-2013,26-03-2013, Evidence
,26-03-2013,27-06-2013, Evidence
,27-06-2013,08-08-2013, Evidence
,08-08-2013,19-09-2013, Evidence
,19-09-2013,29-11-2013, Evidence
,29-11-2013,05-02-2014, Evidence
,05-02-2014,04-04-2014, Evidence
,04-04-2014,23-04-2014, Evidence
,23-04-2014,28-07-2014, Evidence
,28-07-2014,05-11-2014, Evidence
,05-11-2014,19-01-2015, Evidence
,19-01-2015,01-04-2015, Evidence
,01-04-2015,26-06-2015, Evidence
,26-06-2015,01-09-2015, Evidence
,01-09-2015,03-12-2015, Evidence
,03-12-2015,17-02-2016, Evidence
,17-02-2016,22-04-2016, Evidence
,22-04-2016,28-07-2016, Evidence
,28-07-2016,31-10-2016, Evidence
District and Sessions Judge,31-10-2016,11-01-2017, Evidence
District and Sessions Judge,11-01-2017,27-03-2017, Evidence
District and Sessions Judge,27-03-2017,25-07-2017, Evidence
District and Sessions Judge,25-07-2017,01-11-2017, Evidence
District and Sessions Judge,01-11-2017,29-01-2018, Evidence
District and Sessions Judge,29-01-2018,21-03-2018, Evidence
District and Sessions Judge,21-03-2018,21-06-2018, Evidence
District and Sessions Judge,21-06-2018,05-09-2018, Evidence
District and Sessions Judge,05-09-2018,29-11-2018, Evidence
District and Sessions Judge,29-11-2018,22-02-2019, Evidence
District and Sessions Judge,22-02-2019,12-04-2019, Evidence
District and Sessions Judge,12-04-2019,02-07-2019, Evidence
District and Sessions Judge,02-07-2019,14-10-2019, Evidence
District and Sessions Judge,14-10-2019,20-12-2019, Evidence
,20-12-2019,05-03-2020, Evidence
District and Sessions Judge,05-03-2020,30-06-2020, Evidence
District and Sessions Judge,30-06-2020,04-11-2020, Evidence
District and Sessions Judge,04-11-2020,05-03-2021, Evidence
District and Sessions Judge,05-03-2021,11-06-2021, Evidence
District and Sessions Judge,11-06-2021,31-08-2021, Evidence
District and Sessions Judge,31-08-2021,17-12-2021, Evidence
District and Sessions Judge,17-12-2021,17-03-2022, Evidence
District and Sessions Judge,17-03-2022,09-06-2022, Evidence
District and Sessions Judge,09-06-2022,27-07-2022, Evidence
District and Sessions Judge,27-07-2022,31-10-2022, Evidence
District and Sessions Judge,31-10-2022,20-12-2022, Evidence
District and Sessions Judge,20-12-2022,23-03-2023, Evidence
District and Sessions Judge,23-03-2023,30-06-2023, Evidence
District and Sessions Judge,30-06-2023,30-08-2023, Evidence
District and Sessions Judge,30-08-2023,03-11-2023, Evidence
District and Sessions Judge,03-11-2023,16-01-2024, Evidence
District and Sessions Judge,16-01-2024,29-04-2024, Evidence
